text,word,wordlabel,phonelength,duration,silence,durasil,begin,meanpit,maxpitch,maxPitTime,minpitch,minPitTime,firstpitch,secondpitch,thirdpitch,fourthpitch,meanIntensity,maxIntensity
AlbatocoaSandra,a,a,0,0.110,0,0.110,0,244.046,277.37,0.110,220.01,0.021,220.628,226.581,246.651,268.806,78.175,80.969
AlbatocoaSandra,l,l,0,0.090,0,0.090,0.11,287.309,295.85,0.035,276.69,0.090,282.535,293.630,290.167,282.903,70.584,73.010
AlbatocoaSandra,b,b,0,0.060,0,0.060,0.2,267.224,282.83,0.060,259.56,0.019,267.083,260.694,265.151,275.968,62.175,68.297
AlbatocoaSandra,a,a,1,0.120,0,0.120,0.26,270.667,284.30,0.008,229.65,0.120,282.784,274.494,268.157,257.235,72.946,74.735
AlbatocoaSandra,t,t,0,0.150,0,0.150,0.38,235.184,261.74,0.150,223.77,0.005,228.284,--undefined--,--undefined--,261.737,43.960,69.512
AlbatocoaSandra,o,o,0,0.120,0,0.120,0.53,278.280,300.75,0.113,260.92,0.018,261.578,268.890,285.099,297.554,73.470,75.546
AlbatocoaSandra,k,k,0,0.090,0,0.090,0.65,299.364,299.46,0,299.36,0.0009,299.364,--undefined--,--undefined--,--undefined--,45.991,61.885
AlbatocoaSandra,o,o,1,0.090,0,0.090,0.74,302.507,322.19,0.011,268.24,0.090,318.072,310.420,303.806,281.793,72.487,77.153
AlbatocoaSandra,a,a,1,0.160,0,0.160,0.83,216.864,268.24,0,182.45,0.160,255.513,227.185,199.431,185.328,78.065,81.974
AlbatocoaSandra,s,s,0,0.090,0,0.090,0.99,180.738,182.45,0,179.81,0.011,180.738,--undefined--,--undefined--,--undefined--,61.583,65.107
AlbatocoaSandra,a,a,0,0.150,0,0.150,1.08,251.721,257.51,0.011,241.91,0.150,255.409,252.256,251.800,247.995,76.601,78.871
AlbatocoaSandra,n,n,0,0.110,0,0.110,1.23,222.466,241.91,0,211.73,0.063,235.263,223.450,214.060,217.093,72.636,75.438
AlbatocoaSandra,d,d,0,0.040,0,0.040,1.34,218.285,234.59,0.040,207.43,0.010,211.034,210.701,220.476,230.931,69.340,73.236
AlbatocoaSandra,rf,rf,0,0.060,0,0.060,1.38,247.656,266.14,0.060,234.59,0,240.193,245.354,246.497,258.580,72.912,75.099
AlbatocoaSandra,a,a,1,0.180,0,0.180,1.44,280.413,362.39,0.086,160.57,0.106,276.481,319.893,218.591,--undefined--,62.081,76.027
AlbatocoaSandra,sp,sp,0,0.050,0,0.050,1.62,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,46.457,48.836
AnapateoaRaul,a,a,0,0.170,0,0.170,0,235.262,239.85,0.165,232.22,0.113,--undefined--,233.946,233.975,237.449,74.743,79.235
AnapateoaRaul,n,n,0,0.050,0,0.050,0.17,239.316,240.45,0.046,237.56,0.011,238.500,238.784,239.665,240.315,74.854,75.300
AnapateoaRaul,a,a,1,0.120,0,0.120,0.22,234.524,242.63,0.022,222.43,0.120,241.652,238.244,231.257,226.941,77.361,79.281
AnapateoaRaul,p,p,0,0.070,0,0.070,0.34,213.412,222.43,0,208.02,0.013,213.709,212.799,--undefined--,--undefined--,52.677,65.866
AnapateoaRaul,a,a,0,0.110,0,0.110,0.41,219.169,230.22,0.021,210.01,0.110,229.289,222.665,217.097,213.513,76.837,80.749
AnapateoaRaul,t,t,0,0.080,0,0.080,0.52,199.167,217.81,0.080,189.40,0.022,200.068,193.378,--undefined--,217.811,56.922,71.512
AnapateoaRaul,e,e,0,0.180,0,0.180,0.6,257.500,292.38,0.180,217.44,0.008,222.001,248.912,273.066,286.022,74.770,75.568
AnapateoaRaul,o,o,1,0.050,0,0.050,0.78,292.038,296.82,0.021,280.71,0.050,293.833,296.130,293.479,284.711,76.480,77.503
AnapateoaRaul,a,a,1,0.100,0,0.100,0.83,277.834,294.58,0.100,267.21,0.047,276.367,269.488,275.462,290.017,78.218,80.854
AnapateoaRaul,r,r,0,0.100,0,0.100,0.93,291.796,305.98,0.036,278.80,0.072,295.084,303.669,286.884,281.548,70.954,74.837
AnapateoaRaul,aU,aU,0,0.300,0,0.300,1.03,228.906,281.37,0.013,171.09,0.300,275.035,253.370,206.882,180.337,76.395,79.567
AnapateoaRaul,l,l,1,0.150,0,0.150,1.33,165.899,171.62,0.072,161.91,0.030,165.812,167.419,166.424,162.774,65.018,73.036
AnapateoaRaul,sp,sp,0,0.130,0,0.130,1.48,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,1.426,40.654
BelenbesoaGeorge,b,b,0,0.150,0,0.150,0,234.066,261.31,0.144,221.19,0.116,--undefined--,236.558,228.470,238.333,66.162,77.336
BelenbesoaGeorge,e,e,0,0.080,0,0.080,0.15,249.404,254.76,0,241.81,0.080,253.764,252.311,247.910,243.629,78.676,79.718
BelenbesoaGeorge,l,l,0,0.060,0,0.060,0.23,247.869,250.83,0.034,241.83,0,243.001,248.537,250.359,249.579,72.440,75.013
BelenbesoaGeorge,e,e,0,0.140,0,0.140,0.29,221.939,249.26,0,190.20,0.140,242.137,231.901,216.887,196.832,77.851,79.639
BelenbesoaGeorge,ng,ng,1,0.080,0,0.080,0.43,180.065,190.20,0,175.75,0.063,188.150,179.717,176.361,176.033,72.514,74.396
BelenbesoaGeorge,b,b,0,0.070,0,0.070,0.51,192.748,224.61,0.070,175.71,0.015,176.055,179.033,194.817,221.086,69.699,79.009
BelenbesoaGeorge,e,e,0,0.110,0,0.110,0.58,242.518,247.24,0.040,224.61,0,236.405,246.981,244.535,242.153,78.443,79.806
BelenbesoaGeorge,s,s,0,0.110,0,0.110,0.69,233.523,254.73,0.110,216.13,0.040,237.047,221.928,--undefined--,254.728,66.775,75.556
BelenbesoaGeorge,o,o,1,0.050,0,0.050,0.8,266.848,281.36,0.050,252.45,0.006,254.091,261.881,272.305,279.116,69.768,74.862
BelenbesoaGeorge,a,a,1,0.080,0,0.080,0.85,274.730,285.50,0.022,236.02,0.080,283.448,282.408,272.223,260.843,73.117,77.237
BelenbesoaGeorge,L,L,0,0.160,0,0.160,0.93,221.267,236.41,0.147,200.52,0.070,223.173,206.649,--undefined--,233.707,63.406,75.281
BelenbesoaGeorge,o,o,0,0.180,0,0.180,1.09,189.922,231.49,0,163.24,0.179,218.363,197.708,177.793,165.826,73.743,77.282
BelenbesoaGeorge,rf,rf,0,0.030,0,0.030,1.27,164.962,166.44,0.025,163.25,0,163.530,164.336,165.815,166.167,68.095,69.867
BelenbesoaGeorge,L,L,1,0.180,0,0.180,1.3,163.398,166.16,0,157.87,0.040,163.398,--undefined--,--undefined--,--undefined--,58.419,69.709
BelenbesoaGeorge,sp,sp,0,0.180,0,0.180,1.48,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,34.665,63.975
BelenhaloaJuncal,b,b,0,0.180,0,0.180,0,237.346,247.84,0.054,224.18,0.153,--undefined--,243.260,238.184,231.121,75.796,81.101
BelenhaloaJuncal,e,e,0,0.100,0,0.100,0.18,237.507,240.07,0,235.10,0.100,238.008,236.878,238.328,236.813,79.130,80.624
BelenhaloaJuncal,l,l,0,0.050,0,0.050,0.28,239.983,242.19,0.021,233.98,0.0008,236.682,241.912,241.347,239.993,75.421,76.715
BelenhaloaJuncal,e,e,0,0.130,0,0.130,0.33,227.958,239.50,0,218.88,0.130,233.611,229.390,226.667,222.165,77.679,80.987
BelenhaloaJuncal,ng,ng,1,0.070,0,0.070,0.46,213.916,218.88,0,209.45,0.060,217.696,215.542,212.009,210.419,70.281,70.732
BelenhaloaJuncal,a,a,0,0.140,0,0.140,0.53,236.706,273.78,0.140,208.76,0.033,210.573,216.765,251.215,268.270,76.244,79.446
BelenhaloaJuncal,l,l,0,0.090,0,0.090,0.67,279.464,283.39,0.028,273.78,0,276.558,281.965,279.859,279.476,74.574,76.702
BelenhaloaJuncal,o,o,1,0.110,0,0.110,0.76,270.205,278.51,0,255.94,0.110,274.939,270.758,270.301,264.822,78.228,80.023
BelenhaloaJuncal,a,a,1,0.190,0,0.190,0.87,240.735,255.94,0,222.17,0.190,246.190,238.939,241.962,235.849,78.149,81.795
BelenhaloaJuncal,x,x,0,0.080,0,0.080,1.06,220.200,222.17,0,219.64,0.004,220.200,--undefined--,--undefined--,--undefined--,51.861,63.498
BelenhaloaJuncal,u,u,0,0.110,0,0.110,1.14,266.552,275.28,0.037,257.53,0.110,269.742,273.452,265.247,258.812,72.034,74.734
BelenhaloaJuncal,n,n,0,0.080,0,0.080,1.25,251.482,257.53,0,230.81,0.080,256.459,257.164,254.067,238.237,72.279,73.841
BelenhaloaJuncal,k,k,0,0.050,0,0.050,1.33,230.014,238.15,0.050,228.62,0.004,229.110,--undefined--,--undefined--,238.148,58.728,68.195
BelenhaloaJuncal,a,a,0,0.170,0,0.170,1.38,198.033,238.15,0.004,172.88,0.170,229.737,202.387,184.023,175.984,78.710,81.276
BelenhaloaJuncal,l,l,1,0.160,0,0.160,1.55,169.536,172.88,0,166.45,0.102,172.127,169.689,167.010,169.077,63.549,71.846
BelenhaloaJuncal,sp,sp,0,0.120,0,0.120,1.71,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,-37.061,37.287
CocopateoaGabriel,sil,sil,1,0.030,0,0.030,0,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,21.120,21.120
CocopateoaGabriel,k,k,0,0.050,0,0.050,0.03,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,32.448,40.149
CocopateoaGabriel,o,o,0,0.210,0,0.210,0.08,247.426,269.22,0.019,210.45,0.206,266.506,250.090,244.657,231.359,73.121,77.495
CocopateoaGabriel,k,k,0,0.090,0,0.090,0.29,216.142,216.42,0.003,214.92,0,216.142,--undefined--,--undefined--,--undefined--,46.553,55.426
CocopateoaGabriel,o,o,1,0.120,0,0.120,0.38,225.222,242.81,0.013,184.40,0.120,241.793,237.202,222.640,203.670,74.784,80.711
CocopateoaGabriel,p,p,0,0.070,0,0.070,0.5,178.803,184.40,0,177.51,0.003,178.803,--undefined--,--undefined--,--undefined--,52.015,66.087
CocopateoaGabriel,a,a,0,0.100,0,0.100,0.57,179.132,187.93,0.023,172.24,0.100,187.837,183.766,177.148,174.044,75.895,79.596
CocopateoaGabriel,t,t,0,0.090,0,0.090,0.67,156.404,172.24,0,144.18,0.013,156.404,--undefined--,--undefined--,--undefined--,47.808,67.557
CocopateoaGabriel,e,e,0,0.230,0,0.230,0.76,205.443,223.34,0.230,195.11,0.055,196.733,198.090,206.010,216.697,76.541,78.981
CocopateoaGabriel,o,o,1,0.130,0,0.130,0.99,236.065,242.02,0.104,223.34,0,228.938,235.537,239.949,239.837,78.085,80.350
CocopateoaGabriel,a,a,1,0.080,0,0.080,1.12,234.138,237.51,0.010,229.17,0.080,237.009,233.547,233.476,232.521,79.670,82.143
CocopateoaGabriel,G,G,0,0.060,0,0.060,1.2,214.111,231.64,0.060,196.59,0.028,219.809,200.764,208.930,226.939,65.384,73.713
CocopateoaGabriel,a,a,0,0.100,0,0.100,1.26,233.685,238.36,0.026,231.01,0.084,235.890,236.107,231.564,231.178,78.278,80.510
CocopateoaGabriel,b,b,0,0.050,0,0.050,1.36,222.847,231.51,0,208.27,0.047,231.003,229.069,220.729,210.589,72.468,79.379
CocopateoaGabriel,rf,rf,0,0.070,0,0.070,1.41,216.017,221.26,0.035,205.11,0.065,212.951,219.605,220.510,211.000,69.990,74.825
CocopateoaGabriel,j,j,0,0.120,0,0.120,1.48,209.376,217.01,0.024,205.11,0.084,214.355,211.149,205.789,206.210,74.461,77.074
CocopateoaGabriel,e,e,0,0.110,0,0.110,1.6,191.748,207.09,0.003,178.00,0.110,206.243,195.999,185.096,179.654,76.522,77.963
CocopateoaGabriel,l,l,1,0.150,0,0.150,1.71,177.842,182.97,0.099,175.27,0.042,177.108,176.548,180.020,176.823,61.430,70.704
CocopateoaGabriel,sp,sp,0,0.140,0,0.140,1.86,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,-2.794,36.587
CocopateoaMiguel,sil,sil,1,0.030,0,0.030,0,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--
CocopateoaMiguel,k,k,0,0.050,0,0.050,0.03,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,32.322,46.604
CocopateoaMiguel,o,o,0,0.210,0,0.210,0.08,247.405,269.22,0.022,210.49,0.206,266.383,250.088,244.662,231.739,73.120,77.495
CocopateoaMiguel,k,k,0,0.090,0,0.090,0.29,217.096,217.67,0.004,215.08,0,217.096,--undefined--,--undefined--,--undefined--,47.893,58.800
CocopateoaMiguel,o,o,1,0.120,0,0.120,0.38,207.862,217.18,0.014,189.13,0.120,215.516,214.945,207.139,196.143,74.613,80.033
CocopateoaMiguel,p,p,0,0.070,0,0.070,0.5,185.061,189.13,0,182.87,0.014,185.249,182.870,--undefined--,--undefined--,52.284,63.068
CocopateoaMiguel,a,a,0,0.110,0,0.110,0.57,206.166,212.01,0.092,201.72,0.110,203.962,203.163,206.301,209.717,74.363,77.454
CocopateoaMiguel,t,t,0,0.070,0,0.070,0.68,193.703,217.99,0.070,187.54,0.014,192.843,187.536,--undefined--,217.995,54.790,68.925
CocopateoaMiguel,e,e,0,0.180,0,0.180,0.75,256.491,291.79,0.180,217.59,0.012,221.196,247.235,272.245,285.289,74.677,75.425
CocopateoaMiguel,o,o,1,0.060,0,0.060,0.93,290.417,296.92,0.023,277.96,0.060,293.564,296.087,290.919,281.099,76.620,78.081
CocopateoaMiguel,a,a,1,0.120,0,0.120,0.99,262.004,277.96,0,246.11,0.120,273.304,265.666,258.305,250.742,78.772,80.638
CocopateoaMiguel,m,m,0,0.100,0,0.100,1.11,243.233,246.29,0.100,238.58,0.023,241.400,242.017,244.686,244.829,77.902,81.524
CocopateoaMiguel,i,i,0,0.090,0,0.090,1.21,245.447,250.19,0.026,240.95,0.087,247.636,248.620,244.278,241.255,79.620,81.519
CocopateoaMiguel,g,g,0,0.100,0,0.100,1.3,218.026,241.32,0,203.38,0.059,235.932,210.225,207.539,218.408,62.950,72.248
CocopateoaMiguel,e,e,0,0.150,0,0.150,1.4,196.258,225.57,0.020,172.72,0.150,221.025,206.886,183.478,173.644,75.936,80.687
CocopateoaMiguel,l,l,1,0.150,0,0.150,1.55,177.730,181.61,0.066,172.12,0,175.951,180.429,177.292,174.938,61.875,69.423
CocopateoaMiguel,sp,sp,0,0.130,0,0.130,1.7,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,5.269,40.789
EdgaralzoaAna,sil,sil,1,0.030,0,0.030,0,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,26.103,26.103
EdgaralzoaAna,e,e,0,0.170,0,0.170,0.03,227.724,241.07,0.170,212.10,0.024,212.982,220.848,231.138,239.337,73.537,80.165
EdgaralzoaAna,D,D,0,0.090,0,0.090,0.2,226.927,242.51,0.090,211.84,0.047,239.607,222.360,214.912,230.829,70.475,80.059
EdgaralzoaAna,G,G,0,0.040,0,0.040,0.29,239.125,243.82,0.004,235.49,0.027,242.919,239.747,236.307,237.527,70.756,72.596
EdgaralzoaAna,a,a,0,0.100,0,0.100,0.33,235.142,248.00,0.022,222.34,0.100,244.835,242.899,229.835,222.998,77.507,78.589
EdgaralzoaAna,rf,rf,1,0.050,0,0.050,0.43,218.126,222.34,0,214.62,0.050,221.601,219.365,216.272,215.264,77.914,78.606
EdgaralzoaAna,a,a,0,0.100,0,0.100,0.48,218.860,244.38,0.100,206.81,0.034,211.492,208.709,219.835,235.404,78.169,79.850
EdgaralzoaAna,l,l,0,0.150,0,0.150,0.58,270.432,287.49,0.098,244.38,0,253.336,270.055,285.792,272.546,70.867,76.872
EdgaralzoaAna,s,s,0,0.080,0,0.080,0.73,251.834,255.40,0,248.05,0.080,252.254,--undefined--,--undefined--,248.046,63.148,65.766
EdgaralzoaAna,o,o,1,0.110,0,0.110,0.81,230.687,248.05,0.004,206.36,0.110,245.733,236.732,226.187,214.095,75.539,79.729
EdgaralzoaAna,a,a,1,0.070,0,0.070,0.92,194.698,206.36,0,186.01,0.064,202.799,197.239,191.742,186.548,80.159,80.647
EdgaralzoaAna,a,a,0,0.290,0,0.290,0.99,177.645,218.32,0.205,84.81,0.104,115.826,85.248,216.474,213.299,73.904,78.161
EdgaralzoaAna,n,n,0,0.070,0,0.070,1.28,201.998,209.77,0,187.60,0.070,208.017,203.993,201.591,194.391,70.318,73.960
EdgaralzoaAna,a,a,1,0.240,0,0.240,1.35,170.303,187.60,0,156.78,0.189,179.037,168.880,166.879,158.028,65.051,76.164
EdgaralzoaAna,sp,sp,0,0.120,0,0.120,1.59,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,-75.404,39.808
EmmahaloaAna,sil,sil,1,0.030,0,0.030,0,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--
EmmahaloaAna,e,e,0,0.090,0,0.090,0.03,270.536,296.52,0.090,257.95,0.041,--undefined--,259.877,265.794,283.805,70.148,79.833
EmmahaloaAna,m,m,0,0.060,0,0.060,0.12,313.443,325.18,0.060,296.52,0,303.493,313.079,315.440,321.758,80.118,80.407
EmmahaloaAna,m,m,0,0.130,0,0.130,0.18,322.895,329.87,0.034,308.96,0.122,327.849,328.736,322.255,312.741,78.905,80.457
EmmahaloaAna,a,a,1,0.220,0,0.220,0.31,244.306,314.13,0.007,201.07,0.220,297.249,244.787,227.394,207.793,79.640,81.078
EmmahaloaAna,a,a,0,0.100,0,0.100,0.53,198.913,203.26,0.028,192.79,0.046,201.181,197.875,196.838,199.757,78.132,79.598
EmmahaloaAna,l,l,0,0.080,0,0.080,0.63,199.822,201.46,0.070,198.34,0.080,199.985,199.821,199.403,200.078,77.478,78.558
EmmahaloaAna,o,o,1,0.070,0,0.070,0.71,184.895,198.34,0,176.08,0.037,196.465,186.341,176.696,180.080,74.683,75.918
EmmahaloaAna,a,a,1,0.280,0,0.280,0.78,207.671,223.90,0.246,182.23,0,188.541,208.164,211.608,222.370,77.129,78.654
EmmahaloaAna,a,a,0,0.050,0,0.050,1.06,219.799,223.07,0,214.68,0.050,222.679,221.277,218.973,216.269,77.108,77.888
EmmahaloaAna,n,n,0,0.090,0,0.090,1.11,205.849,214.68,0,194.33,0.090,212.075,208.053,205.389,197.880,69.795,71.624
EmmahaloaAna,a,a,1,0.250,0,0.250,1.2,170.871,194.33,0,156.69,0.197,180.568,169.055,166.972,158.111,64.559,76.127
EmmahaloaAna,sp,sp,0,0.110,0,0.110,1.45,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,-63.822,38.605
EsterhaloaEmma,sil,sil,1,0.030,0,0.030,0,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,25.714,25.714
EsterhaloaEmma,e,e,0,0.120,0,0.120,0.03,216.267,224.65,0.024,205.12,0.120,224.306,222.004,215.364,208.485,70.723,79.673
EsterhaloaEmma,s,s,0,0.100,0,0.100,0.15,193.386,205.12,0,186.48,0.024,194.490,186.485,--undefined--,--undefined--,59.331,71.139
EsterhaloaEmma,t,t,0,0.070,0,0.070,0.25,259.899,259.90,0.070,259.90,0.070,--undefined--,--undefined--,--undefined--,259.899,43.452,67.638
EsterhaloaEmma,e,e,0,0.110,0,0.110,0.32,237.850,259.90,0.004,233.42,0.048,245.802,234.071,234.963,236.564,76.989,78.853
EsterhaloaEmma,rf,rf,1,0.090,0,0.090,0.43,233.671,238.82,0.059,224.86,0.041,234.073,228.287,235.214,237.112,77.546,79.451
EsterhaloaEmma,a,a,0,0.100,0,0.100,0.52,232.718,236.97,0,230.42,0.036,234.718,230.700,231.365,234.089,79.590,80.265
EsterhaloaEmma,l,l,0,0.070,0,0.070,0.62,239.653,243.27,0.029,233.55,0.008,234.118,241.198,241.530,241.767,74.523,76.283
EsterhaloaEmma,o,o,1,0.100,0,0.100,0.69,234.189,240.57,0,217.73,0.100,239.276,239.085,233.114,225.282,79.016,81.945
EsterhaloaEmma,a,a,1,0.140,0,0.140,0.79,215.998,231.77,0.138,203.70,0.017,208.760,211.932,217.609,225.689,79.928,81.435
EsterhaloaEmma,e,e,0,0.080,0,0.080,0.93,255.684,268.32,0.074,228.77,0,240.156,254.057,261.665,266.858,76.670,78.553
EsterhaloaEmma,m,m,0,0.030,0,0.030,1.01,266.274,266.95,0,265.85,0.008,266.309,266.261,266.211,266.315,74.324,74.498
EsterhaloaEmma,m,m,0,0.060,0,0.060,1.04,275.795,288.94,0.060,266.69,0,267.786,271.507,278.961,284.925,74.313,75.163
EsterhaloaEmma,a,a,1,0.180,0,0.180,1.1,307.749,334.09,0.144,288.94,0,297.138,303.289,315.611,330.914,68.609,77.603
EsterhaloaEmma,sp,sp,0,0.190,0,0.190,1.28,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,-9.368,39.163
EsterhaloaLaura,sil,sil,1,0.030,0,0.030,0,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,25.714,25.714
EsterhaloaLaura,e,e,0,0.120,0,0.120,0.03,215.595,222.85,0.031,205.60,0.120,222.853,221.998,215.308,208.512,70.723,79.673
EsterhaloaLaura,s,s,0,0.100,0,0.100,0.15,194.504,205.60,0,186.52,0.021,194.824,186.523,--undefined--,--undefined--,59.331,71.139
EsterhaloaLaura,t,t,0,0.070,0,0.070,0.25,260.421,260.42,0.070,260.42,0.070,--undefined--,--undefined--,--undefined--,260.421,43.452,67.638
EsterhaloaLaura,e,e,0,0.110,0,0.110,0.32,237.424,260.42,0.001,233.51,0.048,244.097,234.070,234.966,236.564,76.989,78.853
EsterhaloaLaura,rf,rf,1,0.090,0,0.090,0.43,233.792,237.50,0.061,223.42,0.039,234.070,227.848,236.144,237.108,77.546,79.451
EsterhaloaLaura,a,a,0,0.100,0,0.100,0.52,232.705,237.05,0,230.26,0.035,234.694,230.705,231.365,234.056,79.590,80.265
EsterhaloaLaura,l,l,0,0.080,0,0.080,0.62,239.861,242.56,0.031,232.75,0.007,235.326,241.924,241.552,240.644,74.615,76.570
EsterhaloaLaura,o,o,1,0.090,0,0.090,0.7,242.397,245.31,0.057,238.57,0.003,239.228,241.477,245.145,243.738,78.505,79.694
EsterhaloaLaura,a,a,1,0.110,0,0.110,0.79,213.023,241.70,0,190.71,0.110,234.381,219.559,204.035,194.117,80.397,81.779
EsterhaloaLaura,l,l,0,0.100,0,0.100,0.9,195.482,207.48,0.055,183.78,0.032,187.094,187.930,203.771,203.133,74.113,75.040
EsterhaloaLaura,aU,aU,0,0.270,0,0.270,1,253.582,287.41,0.199,204.13,0,214.932,243.002,277.526,278.869,73.942,79.284
EsterhaloaLaura,rf,rf,0,0.060,0,0.060,1.27,267.180,284.59,0.046,237.50,0.023,272.640,246.385,269.901,279.795,68.429,74.150
EsterhaloaLaura,a,a,1,0.290,0,0.290,1.33,268.360,361.29,0.206,155.62,0.226,265.745,254.036,307.338,181.991,66.093,78.038
EsterhaloaLaura,sp,sp,0,0.110,0,0.110,1.62,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,17.497,38.946
EsterpateoaHugo,sil,sil,1,0.030,0,0.030,0,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--
EsterpateoaHugo,e,e,0,0.120,0,0.120,0.03,216.368,225.04,0.023,205.24,0.120,224.547,222.001,215.343,208.488,71.616,79.639
EsterpateoaHugo,s,s,0,0.100,0,0.100,0.15,194.467,205.24,0,186.49,0.023,195.424,186.489,--undefined--,--undefined--,59.339,70.025
EsterpateoaHugo,t,t,0,0.070,0,0.070,0.25,260.102,260.10,0.070,260.10,0.070,--undefined--,--undefined--,--undefined--,260.102,43.447,63.833
EsterpateoaHugo,e,e,0,0.110,0,0.110,0.32,236.030,260.10,0.003,229.25,0.074,245.249,234.043,231.120,233.707,76.783,78.835
EsterpateoaHugo,rf,rf,1,0.090,0,0.090,0.43,229.488,238.72,0.068,211.52,0.090,234.710,223.520,234.033,225.688,71.522,76.226
EsterpateoaHugo,p,p,0,0.090,0,0.090,0.52,215.716,223.87,0.023,208.39,0.005,213.728,223.847,--undefined--,--undefined--,53.175,64.392
EsterpateoaHugo,a,a,0,0.090,0,0.090,0.61,223.080,237.66,0.013,210.80,0.090,235.614,226.174,220.111,214.878,79.056,81.796
EsterpateoaHugo,t,t,0,0.110,0,0.110,0.7,195.277,218.18,0.110,183.70,0.017,193.734,188.506,--undefined--,218.184,52.000,74.631
EsterpateoaHugo,e,e,0,0.180,0,0.180,0.81,256.166,291.59,0.180,217.54,0.013,221.008,246.736,271.874,285.045,74.246,75.438
EsterpateoaHugo,o,o,1,0.070,0,0.070,0.99,295.582,298.29,0.038,291.09,0.070,293.682,297.075,297.604,293.965,73.608,73.974
EsterpateoaHugo,a,a,1,0.180,0,0.180,1.06,226.853,291.09,0,191.28,0.147,277.907,235.401,201.072,193.030,74.889,76.050
EsterpateoaHugo,u,u,0,0.150,0,0.150,1.24,252.463,282.78,0.109,198.56,0,210.492,243.909,278.201,277.251,72.635,76.034
EsterpateoaHugo,G,G,0,0.080,0,0.080,1.39,256.954,280.94,0.080,248.59,0.024,260.182,250.701,--undefined--,280.940,52.130,61.057
EsterpateoaHugo,o,o,1,0.270,0,0.270,1.47,313.735,346.39,0.183,280.94,0.003,296.225,311.242,339.211,--undefined--,58.306,69.710
EsterpateoaHugo,sp,sp,0,0.140,0,0.140,1.74,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,-43.778,44.946
EstertocoaSandra,sil,sil,1,0.030,0,0.030,0,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--
EstertocoaSandra,e,e,0,0.120,0,0.120,0.03,216.375,225.04,0.023,205.32,0.120,224.544,222.030,215.297,208.532,71.643,79.579
EstertocoaSandra,s,s,0,0.100,0,0.100,0.15,194.514,205.32,0,186.52,0.023,195.474,186.520,--undefined--,--undefined--,59.430,70.086
EstertocoaSandra,t,t,0,0.070,0,0.070,0.25,259.818,259.82,0.070,259.82,0.070,--undefined--,--undefined--,--undefined--,259.818,43.511,63.867
EstertocoaSandra,e,e,0,0.110,0,0.110,0.32,233.244,259.82,0.003,222.06,0.077,245.227,234.078,228.200,225.470,77.959,81.418
EstertocoaSandra,rf,rf,1,0.140,0,0.140,0.43,209.096,226.47,0.003,180.76,0.112,221.932,219.006,205.736,188.534,71.236,80.099
EstertocoaSandra,t,t,0,0.070,0,0.070,0.57,223.761,223.76,0.070,223.76,0.070,--undefined--,--undefined--,--undefined--,223.761,41.823,57.003
EstertocoaSandra,o,o,0,0.160,0,0.160,0.64,220.318,226.59,0.048,194.30,0.160,225.465,225.126,219.555,211.127,75.043,78.605
EstertocoaSandra,k,k,0,0.100,0,0.100,0.8,197.890,233.72,0.100,189.29,0.005,193.909,--undefined--,--undefined--,233.724,50.763,67.190
